          18
       40500
 non-polarized
    2.71550000    2.71550000    0.00000000
    2.71550000    0.00000000    2.71550000
    0.00000000    2.71550000    2.71550000
rcell x   rcell y   rcell z   i   j   H   S
  -10.8620  -10.8620  -10.8620      15       8    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      15       9    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      15      10    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      15      11   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      15      12   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      15      13    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      15      14    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      15      15    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      15      16   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      15      17    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      15      18    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      16       1   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      16       2   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      16       3   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      16       4   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      16       5    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      16       6   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      16       7   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      16       8   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      16       9   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      16      10   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      16      11   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      16      12   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      16      13   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      16      14    0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      16      15   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      16      16   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      16      17   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      16      18   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      17       1   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      17       2   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      17       3   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      17       4   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      17       5    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      17       6    0.00000000    0.00000000   -0.00000000
  -10.8620  -10.8620  -10.8620      17       7   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      17       8   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      17       9   -0.00000000    0.00000000    0.00000000
  -10.8620  -10.8620  -10.8620      17      10   -0.00000000    0.00000000    0.00000000
